,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
729,MYBL2,0.01,-2.7615025,-1.0,-1.0,0.01
732,SPARC,0.01,1.2643719,-1.0,-1.0,0.01
742,GPC4,0.01,1.7416295,-1.0,-1.0,0.01
743,CKB,0.01,-0.95605624,-1.0,-1.0,0.01
750,MAP1B,0.01,-1.3621371,-1.0,-1.0,0.01
770,H2AFX,0.01,-2.2767026,-1.0,-1.0,0.01
779,ID1,0.01,-2.8693724,-1.0,-1.0,0.01
782,TMEM141,0.01,-0.91365594,-1.0,-1.0,0.01
794,CCNB1,0.01,-2.0034075,-1.0,-1.0,0.01
799,SQLE,0.01,-2.039309,-1.0,-1.0,0.01
801,EGFL7,0.01,0.99474794,-1.0,-1.0,0.01
802,KPNA2,0.01,-1.8044593,-1.0,-1.0,0.01
811,HES6,0.01,-2.0057435,-1.0,-1.0,0.01
819,ISYNA1,0.01,1.114665,-1.0,-1.0,0.01
823,NODAL,0.01,-2.5643232,-1.0,-1.0,0.01
844,AKAP12,0.01,-1.6035787,-1.0,-1.0,0.01
846,CKS2,0.01,-1.8418156,-1.0,-1.0,0.01
849,PDLIM1,0.01,-0.97667325,-1.0,-1.0,0.01
861,PTTG1,0.01,-1.7310302,-1.0,-1.0,0.01
876,FAM64A,0.01,-2.7393672,-1.0,-1.0,0.01
883,KRT18,0.01,-1.5727183,-1.0,-1.0,0.01
890,DNAJA1,0.01,-1.5420618,-1.0,-1.0,0.01
896,CDKN3,0.01,-2.062042,-1.0,-1.0,0.01
897,UBE2C,0.01,-1.4591358,-1.0,-1.0,0.01
914,DHCR24,0.01,-1.1763562,-1.0,-1.0,0.01
953,TIMP1,0.01,0.95726806,-1.0,-1.0,0.01
982,CDA,0.01,1.5674977,-1.0,-1.0,0.01
990,CDC20,0.01,-1.1247973,-1.0,-1.0,0.01
997,CENPF,0.01,-2.137233,-1.0,-1.0,0.01
1002,UBE2S,0.01,-1.4592316,-1.0,-1.0,0.01
1074,AURKB,0.01,-1.7863162,-1.0,-1.0,0.01
1088,PCNA,0.01,-1.5290667,-1.0,-1.0,0.01
1119,DUT,0.01,-1.2950076,-1.0,-1.0,0.01
1163,RDX,0.01,0.7827459,-1.0,-1.0,0.01
1174,GINS2,0.01,-2.086526,-1.0,-1.0,0.01
1176,HIST1H4C,0.01,-1.1066445,-1.0,-1.0,0.01
1206,ZFP36L2,0.01,-1.0427378,-1.0,-1.0,0.01
1207,TK1,0.01,-2.222211,-1.0,-1.0,0.01
1233,H1F0,0.01,1.2548759,-1.0,-1.0,0.01
1242,BIRC5,0.01,-1.3606135,-1.0,-1.0,0.01
1296,S100A11,0.01,0.95934415,-1.0,-1.0,0.01
1302,AURKA,0.01,-0.6958665,-1.0,-1.0,0.01
1317,CNTNAP2,0.01,1.1987755,-1.0,-1.0,0.01
1354,CTSV,0.01,-0.927068,-1.0,-1.0,0.01
1355,ARL6IP1,0.01,-0.4887873,-1.0,-1.0,0.01
1370,CBR1,0.01,-1.1521604,-1.0,-1.0,0.01
1376,GYPC,0.01,0.9936383,-1.0,-1.0,0.01
1411,FEN1,0.01,-1.0776393,-1.0,-1.0,0.01
1417,PKIG,0.01,0.79741144,-1.0,-1.0,0.01
1433,HSP90B1,0.01,0.7958563,-1.0,-1.0,0.01
1457,SMC4,0.01,-0.9683618,-1.0,-1.0,0.01
1480,HMGB2,0.01,-1.1334991,-1.0,-1.0,0.01
1491,SLC3A2,0.01,-0.8159708,-1.0,-1.0,0.01
1517,EPCAM,0.01,-0.9674739,-1.0,-1.0,0.01
1526,S100A10,0.01,-0.8158146,-1.0,-1.0,0.01
1531,ZWINT,0.01,-1.3162707,-1.0,-1.0,0.01
