,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
946,ZWINT,0.01,-2.813825,-1.0,-1.0,0.01
949,SELENOP,0.01,1.1864446,-1.0,-1.0,0.01
953,CDC20,0.01,-1.5956311,-1.0,-1.0,0.01
955,DHCR24,0.01,-1.215133,-1.0,-1.0,0.01
969,PTTG1,0.01,-2.477279,-1.0,-1.0,0.01
989,AURKB,0.01,-2.8749466,-1.0,-1.0,0.01
994,UBE2S,0.01,-2.5670166,-1.0,-1.0,0.01
1002,MAD2L1,0.01,-2.847789,-1.0,-1.0,0.01
1004,TUBB2A,0.01,1.4822943,-1.0,-1.0,0.01
1021,CDA,0.01,1.6138119,-1.0,-1.0,0.01
1032,BIRC5,0.01,-2.484462,-1.0,-1.0,0.01
1041,H1F0,0.01,1.5749941,-1.0,-1.0,0.01
1042,HIST1H4C,0.01,-1.827126,-1.0,-1.0,0.01
1044,PRDX1,0.01,-0.98431,-1.0,-1.0,0.01
1051,ARPC5,0.01,-0.99451095,-1.0,-1.0,0.01
1056,HMGB2,0.01,-1.9908729,-1.0,-1.0,0.01
1089,SPARC,0.01,0.9065586,-1.0,-1.0,0.01
1124,ID1,0.01,-1.8582916,-1.0,-1.0,0.01
1139,SMC4,0.01,-2.0918462,-1.0,-1.0,0.01
1164,PERP,0.01,-0.9954843,-1.0,-1.0,0.01
1183,CKS1B,0.01,-2.0005279,-1.0,-1.0,0.01
1188,ARL6IP1,0.01,-0.6107371,-1.0,-1.0,0.01
1197,TUBB4B,0.01,-1.0555422,-1.0,-1.0,0.01
1219,FABP5,0.01,-1.4392296,-1.0,-1.0,0.01
1227,RAB25,0.01,0.97303206,-1.0,-1.0,0.01
1231,C4orf48,0.01,-0.97899973,-1.0,-1.0,0.01
1240,CD9,0.01,-0.9333462,-1.0,-1.0,0.01
1257,B2M,0.01,-0.7717935,-1.0,-1.0,0.01
1276,DUSP6,0.01,1.0744894,-1.0,-1.0,0.01
1287,EPCAM,0.01,1.1213214,-1.0,-1.0,0.01
1322,S100A10,0.01,-1.0598543,-1.0,-1.0,0.01
1341,AURKA,0.01,-0.8790455,-1.0,-1.0,0.01
1385,PSAT1,0.01,-1.1573668,-1.0,-1.0,0.01
1420,EGFL7,0.01,0.7333979,-1.0,-1.0,0.01
1439,ADM,0.01,0.96180105,-1.0,-1.0,0.01
1450,CCNB2,0.01,-0.4495441,-1.0,-1.0,0.01
1487,RPRM,0.01,0.91031516,-1.0,-1.0,0.01
1500,NUDT4,0.01,0.9585975,-1.0,-1.0,0.01
1509,MIR302B,0.01,-0.97871155,-1.0,-1.0,0.01
1514,TUBA1B,0.01,-0.8165873,-1.0,-1.0,0.01
1527,MAP1B,0.01,-0.8144881,-1.0,-1.0,0.01
1562,TMEM98,0.01,-0.6241354,-1.0,-1.0,0.01
1587,IGFBP2,0.01,0.8509515,-1.0,-1.0,0.01
1625,ZFP36L2,0.01,-0.8492257,-1.0,-1.0,0.01
1632,PDLIM1,0.01,-0.6713806,-1.0,-1.0,0.01
1712,S100A13,0.01,-0.586799,-1.0,-1.0,0.01
1726,RBP1,0.01,-0.66307616,-1.0,-1.0,0.01
1740,GLRX,0.01,0.43350363,-1.0,-1.0,0.01
1742,KRT18,0.01,0.64200574,-1.0,-1.0,0.01
1745,HSPA5,0.01,0.5614319,-1.0,-1.0,0.01
1753,SLC3A2,0.01,-0.6014595,-1.0,-1.0,0.01
1759,PLPP2,0.01,0.5565326,-1.0,-1.0,0.01
1761,IFITM3,0.01,0.60419196,-1.0,-1.0,0.01
