,TF,target,importance
212,Erf,Tmem106a,0.8711553975654955
213,Jun,Mcts2,0.1384245277544586
214,Maz,Mcts2,0.3519304294786348
215,Ctcf,Fbxo46,0.5109589191992806
216,Bhlhe40,Fbxo46,0.19977113313508849
217,E2f4,Ece2,0.6584288556424678
218,Atf6b,Ece2,0.35282869521327365
219,Xbp1,Ece2,0.11066942262499173
220,Erf,Erich1,1.0440995093272865
221,Klf15,Trim24,0.9190501570347644
222,Zmiz1,Zfp703,0.4717107759867358
223,Fosb,Isl1,0.10789497548160883
224,Atf1,Isl1,0.9845911056064495
225,Elk4,Isl1,0.5669035168569776
226,Myc,Isl1,0.2755351757681245
227,Junb,Isl1,0.03523290718989303
228,Clock,Pih1d2,0.4818110828588616
229,Bach1,Pih1d2,0.19877508224286433
230,Wt1,Nrp1,0.23068589526489386
231,Elf1,Rgs7,0.3137925104874704
232,Hif1a,Rgs7,0.06258237543296949
233,AU041133,Rgs7,0.14976646238812882
234,Ctcf,Atad5,0.3672375941076528
235,Creb3l1,Atad5,0.23856773029461073
236,Crebl2,Hmg20a,0.6401527858359423
237,Jun,Hmg20a,0.04780566777124
238,Atf4,Hmg20a,0.18369948228313804
239,Stat3,Hmg20a,-0.08734512242435231
240,Ctcf,Fam185a,0.1452123182053004
241,Elk4,Fam185a,0.26962222711498174
242,Mecp2,Fam185a,-0.19154353192464216
243,Nfatc4,Fam185a,0.1997370366414573
244,Gmeb1,Fam185a,0.13539749763528167
245,Hoxb8,Mab21l1,2.606079489446533
246,Hes7,Mab21l1,4.524936839809049
247,Fos,Lamp2,0.05589467447768043
248,Bhlhe40,Lamp2,0.33334745475535155
249,Hif1a,Lamp2,0.28205313101455437
250,Dbp,Lamp2,0.9032839542389197
251,Stat1,Lamp2,0.4528551815353351
252,Xbp1,Lamp2,0.2034043579468186
253,E2f7,Zfp575,0.12360506804923346
254,E2f3,Isoc1,1.8986401936850459
255,Zmiz1,Sirt2,0.3830218958805902
256,Ets2,Lmbrd2,0.9889232232107523
257,Fos,Ppia,0.0033028269594832706
258,Nfib,Ppia,0.03675775090354508
259,Klf8,Ppia,0.9538126389505844
260,Srebf1,Cdc42bpa,1.4206378275820908
261,Mybl1,Kcna6,0.09473931989100437
262,Usf2,Kcna6,0.43446348865024337
263,Fosb,Meg3,0.5577024516134006
264,Mafg,Meg3,1.0509013633515052
265,Egr1,Meg3,0.14515702319062299
266,Pbx1,Meg3,0.7300102145746625
267,Nfe2,Meg3,25.250561376485784
268,Thrb,Meg3,1.6226231302374416
269,Rarb,Meg3,2.9542359544454877
270,Meis1,Meg3,0.7946477818806365
271,Zfp740,Meg3,1.5100164410801242
272,Rfx5,Meg3,1.6441953531714166
273,Foxj2,Meg3,2.137287418768792
274,Klf16,Arf2,1.4614388897576729
